"Year","Division","Place","Player1","Player2","TournamentID"
1979,"Open","1","Gerry Geare","Steve McLean",1
1979,"Open","2","Charlie Duvall","Harold Duvall",1
1979,"Open","3","Al Bonopane","Bill O'Dell",1
1979,"Open","3","Paul Brenner","Jamie Moldt",1
1979,"Open","5","Tom Kennedy","Dan Roddick",1
1979,"Open","5","Ken Westerfield","Mark Horn",1
1979,"Open","7","Steve Hubbard","Jim Challas",1
1979,"Open","7","Jens Velasquez","Erwin Velasquez",1
1979,"Open","9","Krae Van Sickle","John Kirkland",1
1979,"Open","9","Scott Zimmerman","Daryl Elliott",1
1979,"Women","1","Teresa Gaman","Cyndi Birch",1
1979,"Women","2","Michele Marini","Cynthia Allen",1
1979,"Women","3","Joann Loftus","Marie Bracciale",1
1979,"Women","4","Laura Engel","G Rose",1
1980,"Open","1","Mark Horn","Gerry Geare",2
1980,"Open","2","Al Bonopane","Charlie Duvall",2
1980,"Open","3","John Greensage","Danny McInnis",2
1980,"Open","3","Scott Zimmerman","Paul Brenner",2
1980,"Open","5","Tom Wingo","Tom Monroe",2
1980,"Open","6","Steve McLean","Tim Selinske",2
1980,"Open","7","Jens Velasquez","Erwin Velasquez",2
1980,"Open","8","John Kirkland","Dennis Loftus",2
1980,"Open","9","Snapper Pierson","Sean Sheldon",2
1980,"Open","10","Jay Beukelman","Gregg Beukelman",2
1980,"Open","11","Harvey Brandt","Ed Noble",2
1980,"Open","12","Jamie Moldt","Kevin Dooley",2
1980,"Open","13","Tom Kennedy","Ken Westerfield",2
1980,"Open","14","Don Cain","Jim Herrick",2
1980,"Open","15","Don Wilchek","Dan Roddick",2
1980,"Open","16","Jeff Watson","John Connelly",2
1980,"Women","1","Anne Campagna","Marie Bracciale",2
1980,"Women","2","Judy Horowitz","Joann Loftus",2
1980,"Women","3","Cyndi Birch","Teresa Gaman",2
1980,"Women","3","Becky Rebelo","Diane Harris",2
1980,"Women","5","Cynthia Allen","Laura Engel",2
1980,"Women","5","Margaret Curtis","Michele Marini",2
1980,"Women","7","Suzanne Fields","Su Strait",2
1980,"Women","7","Gail McColl","Tita Ugalde",2
1985,"Open","1","Snapper Pierson","Ron Vingerelli",5
1985,"Open","2","Dave Dunipace","Harold Duvall",5
1985,"Open","3","Jerry Garrett","Sean Sheldon",5
1985,"Open","4","Rick Lebeau","Randy Aiu",5
1985,"Women","1","Anni Kreml","Diane Harris",5
1985,"Women","2","Mandy Carreiro","Judy Horowitz",5
1985,"Women","3","Tita Ugalde","Beth Verish",5
1985,"Women","4","Bethany Sanchez","Wende Coates",5
1986,"Open","1","Snapper Pierson","Ron Vingerelli",6
1986,"Open","2","Rick Lebeau","Randy Aiu",6
1986,"Open","3","Al Bonopane","Scott Zimmerman",6
1986,"Open","3","Harvey Brandt","Danny McInnis",6
1986,"Women","1","Anni Kreml","Diane Harris",6
1986,"Women","2","Mandy Carreiro","Chieko Kakimoto",6
1986,"Women","3","Bethany Sanchez","Tita Ugalde",6
1986,"Women","4","Barbro Langjuth","Brit-Marie Renstrom",6
1987,"Open","1","Snapper Pierson","Ron Vingerelli",7
1987,"Open","2","Tim Selinske","Mark Horn",7
1987,"Open","3","Harold Duvall","Dave Dunipace",7
1987,"Open","3","Scott Zimmerman","Jim Herrick",7
1987,"Open","5","John Greensage","Tom Krajna",7
1987,"Open","6","Randy Aiu","Rick Lebeau",7
1987,"Open","7","Harvey Brandt","Danny McInnis",7
1987,"Open","8","Steve Hubbard","Tim Mackey",7
1987,"Open","9","Jim Schmal","Don Wallace",7
1987,"Open","10","Tom Hughes","Sean Sheldon",7
1987,"Open","11","Jon Freedman","Dan Roddick",7
1987,"Open","12","Mike Hughes","Terry Thiele",7
1987,"Open","13","John Schiller","Neal Dambra",7
1987,"Open","14","John Houck","Eric Marx",7
1987,"Open","15","Jens Velasquez","Don Bishop",7
1987,"Open","16","Hiroshi Oshima","Shori Ouchi",7
1987,"Open","17","Leonard Muise","Marcus Cisneros",7
